service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111100-1,1,1,1,1,1,0,0,20260105,20260116
1111111-1,1,1,1,1,1,1,1,20260105,20260118
1111101-1,1,1,1,1,1,0,1,20260105,20260118
1111110-1,1,1,1,1,1,1,0,20260105,20260117
0000010-1,0,0,0,0,0,1,0,20260110,20260117
0000011-1,0,0,0,0,0,1,1,20260110,20260118
0000001-1,0,0,0,0,0,0,1,20260111,20260118
1111100-2,1,1,1,1,1,0,0,20260105,20260109
1111101-2,1,1,1,1,1,0,1,20260105,20260118
1111110-2,1,1,1,1,1,1,0,20260105,20260117
1111100-3,1,1,1,1,1,0,0,20260105,20260109
1111111-2,1,1,1,1,1,1,1,20260105,20260118
1111111-3,1,1,1,1,1,1,1,20260105,20260118
1111101-3,1,1,1,1,1,0,1,20260105,20260116
1111111-4,1,1,1,1,1,1,1,20260105,20260117
1111101-4,1,1,1,1,1,0,1,20260105,20260111
1111111-5,1,1,1,1,1,1,1,20260105,20260111
1111111-6,1,1,1,1,1,1,1,20260105,20260116
1111101-5,1,1,1,1,1,0,1,20260105,20260118
1111111-7,1,1,1,1,1,1,1,20260105,20260118
1111111-8,1,1,1,1,1,1,1,20260105,20260118
1111100-4,1,1,1,1,1,0,0,20260105,20260116
1111111-9,1,1,1,1,1,1,1,20260105,20260118
1111110-3,1,1,1,1,1,1,0,20260105,20260116
1111100-5,1,1,1,1,1,0,0,20260105,20260108
1111100-6,1,1,1,1,1,0,0,20260105,20260107
1111111-10,1,1,1,1,1,1,1,20260105,20260116
1111111-11,1,1,1,1,1,1,1,20260105,20260117
1111111-12,1,1,1,1,1,1,1,20260105,20260118
1111100-7,1,1,1,1,1,0,0,20260106,20260106
1111111-13,1,1,1,1,1,1,1,20260106,20260118
1111100-8,1,1,1,1,1,0,0,20260108,20260108
1111100-9,1,1,1,1,1,0,0,20260109,20260109
1111111-14,1,1,1,1,1,1,1,20260109,20260116
1111111-15,1,1,1,1,1,1,1,20260109,20260118
1111100-10,1,1,1,1,1,0,0,20260109,20260116
1111111-16,1,1,1,1,1,1,1,20260109,20260117
0000011-2,0,0,0,0,0,1,1,20260110,20260117
1111111-17,1,1,1,1,1,1,1,20260110,20260117
1111110-4,1,1,1,1,1,1,0,20260110,20260117
1111111-18,1,1,1,1,1,1,1,20260110,20260118
0000010-2,0,0,0,0,0,1,0,20260110,20260110
0000011-3,0,0,0,0,0,1,1,20260110,20260111
0000011-4,0,0,0,0,0,1,1,20260110,20260118
1111111-19,1,1,1,1,1,1,1,20260110,20260116
0000001-2,0,0,0,0,0,0,1,20260111,20260111
1111101-6,1,1,1,1,1,0,1,20260111,20260116
1111101-7,1,1,1,1,1,0,1,20260111,20260118
0000011-5,0,0,0,0,0,1,1,20260111,20260118
1111100-11,1,1,1,1,1,0,0,20260112,20260116
0000010-3,0,0,0,0,0,1,0,20260117,20260117
0000011-6,0,0,0,0,0,1,1,20260117,20260118
0000001-3,0,0,0,0,0,0,1,20260118,20260118
0000001-4,0,0,0,0,0,0,1,20260110,20260118
0000001-5,0,0,0,0,0,0,1,20260110,20260118
0000001-6,0,0,0,0,0,0,1,20260111,20260118
1111111-20,1,1,1,1,1,1,1,20260112,20260118
0000001-7,0,0,0,0,0,0,1,20260111,20260118
1111111-21,1,1,1,1,1,1,1,20260105,20260118
1111110-5,1,1,1,1,1,1,0,20260105,20260110
1111111-22,1,1,1,1,1,1,1,20260105,20260118
1111111-23,1,1,1,1,1,1,1,20260112,20260118
1111100-12,1,1,1,1,1,0,0,20260112,20260116
1111111-24,1,1,1,1,1,1,1,20260115,20260118
1111111-25,1,1,1,1,1,1,1,20260105,20260118
1111001-1,1,1,1,1,0,0,1,20260105,20260118
1111000-1,1,1,1,1,0,0,0,20260105,20260115
1111100-13,1,1,1,1,1,0,0,20260105,20260116
0000110-1,0,0,0,0,1,1,0,20260109,20260117
0000011-7,0,0,0,0,0,1,1,20260110,20260118
0000011-8,0,0,0,0,0,1,1,20260111,20260118
0000011-9,0,0,0,0,0,1,1,20260110,20260118
1111100-14,1,1,1,1,1,0,0,20260105,20260116
1111110-6,1,1,1,1,1,1,0,20260105,20260117
0000011-10,0,0,0,0,0,1,1,20260105,20260118
0000001-8,0,0,0,0,0,0,1,20260105,20260118
0000001-9,0,0,0,0,0,0,1,20260105,20260118
0000001-10,0,0,0,0,0,0,1,20260105,20260118
1111100-15,1,1,1,1,1,0,0,20260115,20260116
1111100-16,1,1,1,1,1,0,0,20260105,20260115
0000100-1,0,0,0,0,1,0,0,20260109,20260116
1111111_TR1,1,1,1,1,1,1,1,20251214,20261212
1111111_TR2,1,1,1,1,1,1,1,20251214,20261212
1111111_TR3,1,1,1,1,1,1,1,20251214,20260430
1111111_TR4,1,1,1,1,1,1,1,20260501,20261212
1111100_TR1,1,1,1,1,1,0,0,20251215,20261211
1111101_TR1,1,1,1,1,1,0,1,20251214,20261211
1111110_TR1,1,1,1,1,1,1,0,20251215,20261212
1111111_TR5,1,1,1,1,1,1,1,20251214,20261212
1111101_TR2,1,1,1,1,1,0,1,20251214,20261211
1111111_TR6,1,1,1,1,1,1,1,20251214,20261212
1111111_TR7,1,1,1,1,1,1,1,20251214,20261212
1111111_TR8,1,1,1,1,1,1,1,20251214,20261212
1111111_TR9,1,1,1,1,1,1,1,20251214,20261212
1111100_TR2,1,1,1,1,1,0,0,20251215,20261211
1111111_TR10,1,1,1,1,1,1,1,20251214,20261212
0000011_TR1,0,0,0,0,0,1,1,20251214,20261212
0000011_TR2,0,0,0,0,0,1,1,20251214,20261212
1111101_TR3,1,1,1,1,1,0,1,20251214,20261211
1111100_TR3,1,1,1,1,1,0,0,20251215,20261211
1111111_TR11,1,1,1,1,1,1,1,20251214,20261212
0000010_TR1,0,0,0,0,0,1,0,20251220,20261212
0000001_TR1,0,0,0,0,0,0,1,20251214,20261206
1111101_TR4,1,1,1,1,1,0,1,20251214,20261211
0000011_TR3,0,0,0,0,0,1,1,20251214,20261212
